Index,Time,accl0,accl1,accl2,rot0,rot1,rot2,x,y,z,w
11919,11.91977,-0.138416082,-0.564649701,1.24354756,6.64281797,0.0327179991,-0.982869983,-0.03642134,-0.107203826,-0.77867204,0.551264644
11920,11.92062,-0.138416082,-0.564649701,1.24354756,6.69921017,0.0109059997,-0.939245999,-0.0345207416,-0.109823592,-0.778561056,0.551018417
11921,11.921481,-0.138416082,-0.564649701,1.25087118,6.75400591,-0.00851199962,-0.895355999,-0.032614626,-0.112468004,-0.778425634,0.5507828
11922,11.922242,-0.186019495,-0.548537791,1.25087118,6.75400591,-0.00851199962,-0.895355999,-0.032614626,-0.112468004,-0.778425634,0.5507828
11923,11.923513,-0.158922151,-0.542678893,1.26478601,6.88275003,-0.0468159989,-0.806245983,-0.0287779216,-0.117843084,-0.778079331,0.550342023
11924,11.924274,-0.158922151,-0.542678893,1.26478601,6.88275003,-0.0468159989,-0.806245983,-0.0287779216,-0.117843084,-0.778079331,0.550342023
11925,11.925545,-0.141345516,-0.555128992,1.26918018,7.04687214,-0.0696920007,-0.711018026,-0.0248899125,-0.123338141,-0.777624369,0.549949706
11926,11.926306,-0.141345516,-0.555128992,1.26918018,7.04687214,-0.0696920007,-0.711018026,-0.0248899125,-0.123338141,-0.777624369,0.549949706
11927,11.92758,-0.126698315,-0.541214168,1.29334807,7.2367959,-0.0880459994,-0.620577991,-0.0209241696,-0.128982499,-0.777055144,0.549602628
11928,11.928341,-0.126698315,-0.541214168,1.29334807,7.2367959,-0.0880459994,-0.620577991,-0.0209241696,-0.128982499,-0.777055144,0.549602628
11929,11.929611,-0.1120511,-0.539749444,1.29261577,7.4174099,-0.101612002,-0.522423983,-0.0168786421,-0.13476792,-0.776367903,0.549301803
11930,11.930638,-0.1120511,-0.539749444,1.29261577,7.50412607,-0.118901998,-0.466298014,-0.0148331495,-0.137714326,-0.7759763,0.549171567
11931,11.9316,-0.0981362611,-0.544143617,1.28675687,7.5841918,-0.142575994,-0.410703987,-0.0127741946,-0.140702128,-0.775551617,0.549053669
11932,11.932603,-0.0842214227,-0.544875979,1.2706449,7.64962816,-0.169707999,-0.361227989,-0.0107154213,-0.143714085,-0.775098085,0.548945665
11933,11.933453,-0.0842214227,-0.544875979,1.2706449,7.64962816,-0.169707999,-0.312283993,-0.00865256879,-0.146754906,-0.77461499,0.54884702
11934,11.934215,-0.0783625394,-0.538284719,1.26258898,7.71240425,-0.194977999,-0.312283993,-0.00865256879,-0.146754906,-0.77461499,0.54884702
11935,11.935485,-0.0783625394,-0.538284719,1.26258898,7.8462019,-0.232217997,-0.214662001,-0.00451132702,-0.152914405,-0.773558736,0.548679352
11936,11.936246,-0.0703065768,-0.52583456,1.26258898,7.8462019,-0.232217997,-0.214662001,-0.00451132702,-0.152914405,-0.773558736,0.548679352
